Order ID;Order Date;Ship Date;Ship Mode;Postal Code;Customer ID
US-2016-164175;30/04/2016;05/05/2016;Standard Class;60610;PS-18970
CA-2015-106376;05/12/2015;10/12/2015;Standard Class;85234;BS-11590
CA-2017-119823;04/06/2017;06/06/2017;First Class;22153;KD-16270
CA-2017-106075;18/09/2017;23/09/2017;Standard Class;10009;HM-14980
CA-2018-114440;14/09/2018;17/09/2018;Second Class;49201;TB-21520
US-2016-134026;26/04/2016;02/05/2016;Standard Class;38109;JE-15745
US-2018-118038;09/12/2018;11/12/2018;First Class;77041;KB-16600
US-2015-147606;26/11/2015;01/12/2015;Second Class;77070;JE-15745
CA-2017-127208;12/06/2017;15/06/2017;First Class;35601;SC-20770
CA-2015-139451;12/10/2015;16/10/2015;Standard Class;94122;DN-13690
CA-2016-149734;03/09/2016;08/09/2016;Standard Class;27707;JC-16105
US-2018-119662;13/11/2018;16/11/2018;First Class;60623;CS-12400
CA-2018-140088;28/05/2018;30/05/2018;Second Class;29203;PO-18865
CA-2018-155558;26/10/2018;02/11/2018;Standard Class;55901;PG-18895
CA-2017-159695;05/04/2017;10/04/2017;Second Class;77095;GM-14455
CA-2017-109806;17/09/2017;22/09/2017;Standard Class;90036;JS-15685
CA-2016-149587;31/01/2016;05/02/2016;Second Class;55407;KB-16315
US-2018-109484;06/11/2018;12/11/2018;Standard Class;97206;RB-19705
CA-2018-161018;09/11/2018;11/11/2018;Second Class;10009;PN-18775
CA-2018-157833;17/06/2018;20/06/2018;First Class;94122;KD-16345
CA-2017-149223;06/09/2017;11/09/2017;Standard Class;55106;ER-13855
CA-2017-158568;29/08/2017;02/09/2017;Standard Class;60610;RB-19465
CA-2017-129903;01/12/2017;04/12/2017;Second Class;55901;GZ-14470
US-2016-156867;13/11/2016;17/11/2016;Standard Class;80013;LC-16870
CA-2018-119004;23/11/2018;28/11/2018;Standard Class;28205;JM-15250
CA-2016-129476;15/10/2016;20/10/2016;Standard Class;60462;PA-19060
CA-2018-146780;25/12/2018;30/12/2018;Standard Class;10035;CV-12805
CA-2017-128867;03/11/2017;10/11/2017;Standard Class;50322;CL-12565
CA-2015-115259;25/08/2015;27/08/2015;Second Class;43229;RC-19960
CA-2016-110457;02/03/2016;06/03/2016;Standard Class;98103;DK-13090
US-2016-136476;05/04/2016;10/04/2016;Standard Class;37620;GG-14650
CA-2017-103730;12/06/2017;15/06/2017;First Class;19805;SC-20725
US-2015-152030;26/12/2015;28/12/2015;Second Class;77041;AD-10180
US-2015-134614;20/09/2015;25/09/2015;Standard Class;61701;PF-19165
US-2018-107272;05/11/2018;12/11/2018;Standard Class;85023;TS-21610
US-2017-125969;06/11/2017;10/11/2017;Second Class;90004;LS-16975
US-2018-164147;02/02/2018;05/02/2018;First Class;43229;DW-13585
CA-2017-145583;13/10/2017;19/10/2017;Standard Class;95661;LC-16885
CA-2017-110366;05/09/2017;07/09/2017;Second Class;19140;JD-15895
CA-2018-106180;18/09/2018;23/09/2018;Standard Class;94122;SH-19975
CA-2018-155376;22/12/2018;27/12/2018;Standard Class;64055;SG-20080
CA-2016-110744;07/09/2016;12/09/2016;Standard Class;91104;HA-14920
CA-2015-110072;22/10/2015;28/10/2015;Standard Class;43055;MG-17680
CA-2017-114489;05/12/2017;09/12/2017;Standard Class;53132;JE-16165
CA-2017-158834;13/03/2017;16/03/2017;First Class;85254;TW-21025
CA-2016-124919;31/05/2016;02/06/2016;First Class;95123;SP-20650
CA-2016-118948;28/05/2016;03/06/2016;Standard Class;98105;NK-18490
CA-2015-104269;01/03/2015;06/03/2015;Second Class;98115;DB-13060
CA-2017-114104;20/11/2017;24/11/2017;Standard Class;73034;NP-18670
CA-2017-162733;11/05/2017;12/05/2017;First Class;90045;TT-21070
CA-2016-119697;28/12/2016;31/12/2016;Second Class;19134;EM-13960
CA-2017-154508;16/11/2017;20/11/2017;Standard Class;88220;RD-19900
CA-2017-113817;07/11/2017;11/11/2017;Standard Class;98115;MJ-17740
CA-2015-139892;08/09/2015;12/09/2015;Standard Class;78207;BM-11140
CA-2015-118962;05/08/2015;09/08/2015;Standard Class;90004;CS-12130
US-2015-100853;14/09/2015;19/09/2015;Standard Class;60623;JB-15400
US-2018-152366;21/04/2018;25/04/2018;Second Class;77036;SJ-20500
US-2016-101511;21/11/2016;23/11/2016;Second Class;43055;JE-15745
CA-2016-137225;15/12/2016;19/12/2016;Standard Class;10009;JK-15640
CA-2015-166191;05/12/2015;09/12/2015;Second Class;62521;DK-13150
CA-2015-158274;19/11/2015;24/11/2015;Second Class;71203;RM-19675
CA-2017-105018;28/11/2017;02/12/2017;Standard Class;6824;SK-19990
CA-2015-123260;26/08/2015;30/08/2015;Standard Class;90032;FM-14290
CA-2017-157000;16/07/2017;22/07/2017;Standard Class;75051;AM-10360
CA-2016-102281;12/10/2016;14/10/2016;First Class;10035;MP-17470
CA-2016-131457;31/10/2016;06/11/2016;Standard Class;92374;MZ-17515
CA-2015-140004;21/03/2015;25/03/2015;Standard Class;45011;CB-12025
CA-2018-107720;06/11/2018;13/11/2018;Standard Class;7090;VM-21685
US-2018-124303;06/07/2018;13/07/2018;Standard Class;19120;FH-14365
CA-2018-105074;24/06/2018;29/06/2018;Standard Class;44312;MB-17305
CA-2015-133690;03/08/2015;05/08/2015;First Class;80219;BS-11755
US-2018-116701;17/12/2018;21/12/2018;Second Class;75220;LC-17140
CA-2018-126382;03/06/2018;07/06/2018;Standard Class;37064;HK-14890
CA-2018-108329;09/12/2018;14/12/2018;Standard Class;90604;LE-16810
CA-2018-135860;01/12/2018;07/12/2018;Standard Class;48601;JH-15985
CA-2016-101007;09/02/2016;13/02/2016;Second Class;75220;MS-17980
CA-2016-146262;02/01/2016;09/01/2016;Standard Class;44256;VW-21775
CA-2017-130162;28/10/2017;01/11/2017;Standard Class;90032;JH-15910
CA-2016-169397;24/12/2016;27/12/2016;First Class;43017;JB-15925
CA-2016-163055;09/08/2016;16/08/2016;Standard Class;48227;DS-13180
US-2016-145436;28/02/2016;04/03/2016;Standard Class;38401;VD-21670
US-2015-156216;13/09/2015;17/09/2015;Standard Class;28205;EA-14035
US-2018-100930;07/04/2018;12/04/2018;Standard Class;33614;CS-12400
CA-2018-160514;12/11/2018;16/11/2018;Standard Class;95051;DB-13120
CA-2017-157749;04/06/2017;09/06/2017;Second Class;60610;KL-16645
CA-2015-131926;01/06/2015;06/06/2015;Second Class;55044;DW-13480
CA-2017-154739;10/12/2017;15/12/2017;Second Class;94109;LH-17155
CA-2017-145625;11/09/2017;17/09/2017;Standard Class;92037;KC-16540
CA-2017-146941;10/12/2017;13/12/2017;First Class;10024;DL-13315
US-2016-159982;28/11/2016;04/12/2016;Standard Class;60623;DR-12880
CA-2018-163139;01/12/2018;03/12/2018;Second Class;10009;CC-12670
US-2018-155299;08/06/2018;12/06/2018;Standard Class;77506;Dl-13600
US-2015-106992;19/09/2015;21/09/2015;Second Class;77036;SB-20290
CA-2017-125318;06/06/2017;13/06/2017;Standard Class;60610;RC-19825
CA-2016-155040;10/11/2016;15/11/2016;Standard Class;94513;AH-10210
CA-2018-136826;16/06/2018;20/06/2018;Standard Class;27514;CB-12535
CA-2017-111010;22/01/2017;28/01/2017;Standard Class;7960;PG-18895
US-2018-145366;09/12/2018;13/12/2018;Standard Class;45231;CA-12310
CA-2018-163979;28/12/2018;02/01/2019;Second Class;94110;KH-16690
CA-2016-155334;30/07/2016;31/07/2016;First Class;94109;HA-14920
CA-2018-118136;16/09/2018;17/09/2018;First Class;90301;BB-10990
CA-2018-132976;13/10/2018;17/10/2018;Standard Class;19140;AG-10495
US-2016-161991;26/09/2016;28/09/2016;Second Class;77070;SC-20725
CA-2016-130890;02/11/2016;06/11/2016;Standard Class;90004;JO-15280
CA-2016-130883;26/09/2016;02/10/2016;Standard Class;97206;TB-21520
CA-2017-112697;18/12/2017;20/12/2017;Second Class;33319;AH-10195
CA-2017-110772;20/11/2017;24/11/2017;Second Class;43229;NZ-18565
CA-2015-111451;26/12/2015;28/12/2015;First Class;80906;KL-16555
CA-2017-142545;28/10/2017;03/11/2017;Standard Class;7109;JD-15895
US-2018-152380;19/11/2018;23/11/2018;Standard Class;60623;JH-15910
CA-2016-144253;04/05/2016;09/05/2016;Second Class;10024;AS-10225
CA-2015-130960;30/12/2015;04/01/2016;Standard Class;48180;KB-16600
CA-2015-111003;01/06/2015;06/06/2015;Standard Class;8701;CR-12625
CA-2018-126774;15/04/2018;17/04/2018;First Class;22204;SH-20395
CA-2017-142902;12/09/2017;14/09/2017;Second Class;80004;BP-11185
CA-2015-120887;27/09/2015;03/10/2015;Standard Class;7601;TS-21205
CA-2015-167850;09/08/2015;16/08/2015;Standard Class;33710;AG-10525
CA-2015-164259;28/12/2015;30/12/2015;First Class;19143;SP-20860
CA-2015-164973;04/11/2015;09/11/2015;Standard Class;10024;NM-18445
CA-2015-156601;19/09/2015;24/09/2015;Standard Class;90805;FA-14230
CA-2017-162138;23/04/2017;27/04/2017;Standard Class;92345;GK-14620
CA-2018-153339;03/11/2018;05/11/2018;Second Class;37130;DJ-13510
US-2017-141544;30/08/2017;01/09/2017;First Class;19143;PO-18850
US-2017-150147;25/04/2017;29/04/2017;Second Class;19134;JL-15850
CA-2016-137946;01/09/2016;04/09/2016;Second Class;90045;DB-13615
CA-2015-129924;12/07/2015;17/07/2015;Standard Class;94122;AC-10420
CA-2016-128167;22/06/2016;26/06/2016;Second Class;84041;KL-16645
CA-2015-122336;13/04/2015;17/04/2015;Second Class;19140;JD-15895
US-2016-120712;20/12/2016;24/12/2016;Standard Class;78745;CS-12130
CA-2018-169901;15/06/2018;19/06/2018;Standard Class;94122;CC-12550
CA-2018-134306;08/07/2018;12/07/2018;Standard Class;1852;TD-20995
CA-2017-129714;01/09/2017;03/09/2017;First Class;10009;AB-10060
CA-2017-138520;08/04/2017;13/04/2017;Standard Class;10035;JL-15505
CA-2017-130001;23/04/2017;28/04/2017;Standard Class;28205;HK-14890
CA-2018-155698;08/03/2018;11/03/2018;First Class;31907;VB-21745
CA-2018-144904;25/09/2018;01/10/2018;Standard Class;10009;KW-16435
CA-2015-123344;24/09/2015;29/09/2015;Standard Class;94109;JD-16060
CA-2017-155516;21/10/2017;21/10/2017;Same Day;6040;MK-17905
CA-2018-104745;29/05/2018;04/06/2018;Standard Class;78550;GT-14755
US-2015-119137;23/07/2015;27/07/2015;Standard Class;85705;AG-10900
US-2017-134656;28/09/2017;01/10/2017;First Class;62301;MM-18280
US-2018-134481;27/08/2018;01/09/2018;Standard Class;2038;AR-10405
CA-2016-130792;28/04/2016;05/05/2016;Standard Class;77095;RA-19915
CA-2017-134775;28/10/2017;29/10/2017;First Class;94109;AS-10285
CA-2016-125395;26/06/2016;29/06/2016;Second Class;48180;LA-16780
US-2016-168935;27/11/2016;02/12/2016;Standard Class;33024;DO-13435
CA-2016-122756;03/12/2016;07/12/2016;Standard Class;19140;DK-13225
CA-2015-115973;24/11/2015;26/11/2015;First Class;45231;NG-18430
CA-2018-101798;11/12/2018;15/12/2018;Standard Class;10009;MV-18190
US-2015-135972;21/09/2015;23/09/2015;Second Class;98198;JG-15115
US-2015-134971;07/06/2015;10/06/2015;Second Class;61604;BP-11095
CA-2018-102946;30/06/2018;05/07/2018;Standard Class;89115;VP-21730
CA-2018-165603;17/10/2018;19/10/2018;Second Class;2886;SS-20140
CA-2016-122259;31/10/2016;04/11/2016;Standard Class;49201;HP-14815
CA-2017-108987;08/09/2017;10/09/2017;Second Class;77036;AG-10675
CA-2015-113166;24/12/2015;26/12/2015;First Class;33180;LF-17185
CA-2015-155208;16/04/2015;20/04/2015;Standard Class;28403;SP-20650
CA-2018-117933;24/12/2018;29/12/2018;Standard Class;10024;RF-19840
CA-2018-117457;08/12/2018;12/12/2018;Standard Class;94110;KH-16510
CA-2018-142636;03/11/2018;07/11/2018;Standard Class;98105;KC-16675
CA-2018-122105;24/06/2018;28/06/2018;Standard Class;92646;CJ-12010
CA-2017-148796;14/04/2017;18/04/2017;Standard Class;90004;PB-19150
CA-2018-154816;06/11/2018;10/11/2018;Standard Class;40475;VB-21745
CA-2018-110478;04/03/2018;09/03/2018;Standard Class;90045;SP-20860
CA-2015-142048;22/06/2015;25/06/2015;First Class;80027;JE-15745
CA-2018-125388;19/10/2018;23/10/2018;Standard Class;1841;MP-17965
CA-2018-155705;21/08/2018;23/08/2018;Second Class;39212;NF-18385
CA-2018-149160;23/11/2018;26/11/2018;Second Class;48187;JM-15265
CA-2015-101476;12/09/2015;13/09/2015;First Class;10801;SD-20485
CA-2018-152275;01/10/2018;08/10/2018;Standard Class;78207;KH-16630
US-2017-123750;15/04/2017;21/04/2017;Standard Class;28052;RB-19795
CA-2017-127369;06/06/2017;07/06/2017;First Class;1852;DB-13060
US-2015-150574;19/12/2015;25/12/2015;Standard Class;32216;MK-18160
CA-2017-147375;12/06/2017;14/06/2017;Second Class;60623;PO-19180
CA-2018-130043;15/09/2018;19/09/2018;Standard Class;77070;BB-11545
CA-2018-157252;20/01/2018;23/01/2018;Second Class;10024;CV-12805
CA-2017-115756;05/09/2017;07/09/2017;Second Class;48227;PK-19075
CA-2018-154214;20/03/2018;25/03/2018;Second Class;47201;TB-21595
CA-2017-166674;01/04/2017;03/04/2017;Second Class;13021;RB-19360
CA-2018-147277;20/10/2018;24/10/2018;Standard Class;44312;EB-13705
CA-2017-100153;13/12/2017;17/12/2017;Standard Class;73071;KH-16630
US-2015-110674;12/02/2015;18/02/2015;Standard Class;94521;SC-20095
US-2017-157945;26/09/2017;01/10/2017;Standard Class;62521;NF-18385
CA-2016-109638;15/12/2016;22/12/2016;Standard Class;98115;JH-15985
CA-2017-109869;22/04/2017;29/04/2017;Standard Class;85023;TN-21040
US-2016-101399;17/01/2016;24/01/2016;Standard Class;60068;JS-15940
CA-2018-154907;31/03/2018;04/04/2018;Standard Class;79109;DS-13180
US-2017-100419;16/12/2017;20/12/2017;Second Class;60610;CC-12670
CA-2016-154144;20/12/2016;24/12/2016;Standard Class;11757;MH-17785
CA-2015-144666;09/11/2015;11/11/2015;Second Class;94110;JP-15520
CA-2017-103891;12/07/2017;19/07/2017;Standard Class;90008;KH-16690
CA-2017-152632;27/10/2017;02/11/2017;Standard Class;12180;JE-15475
CA-2017-100790;26/06/2017;02/07/2017;Standard Class;10024;JG-15805
CA-2015-134677;06/10/2015;10/10/2015;Standard Class;92024;XP-21865
CA-2015-127691;22/07/2015;27/07/2015;Standard Class;10024;EM-14065
CA-2018-140963;10/06/2018;13/06/2018;First Class;90045;MT-18070
CA-2015-154627;29/10/2015;31/10/2015;First Class;60610;SA-20830
CA-2015-133753;09/06/2015;13/06/2015;Second Class;77340;CW-11905
CA-2015-113362;14/09/2015;19/09/2015;Standard Class;14609;AJ-10960
CA-2017-169166;09/05/2017;14/05/2017;Standard Class;98115;SS-20590
US-2017-120929;18/03/2017;21/03/2017;Second Class;38109;RO-19780
CA-2016-134782;27/12/2016;31/12/2016;Standard Class;72701;MD-17350
CA-2017-126158;25/07/2017;31/07/2017;Standard Class;92627;SC-20095
US-2017-105578;30/05/2017;04/06/2017;Standard Class;80134;MY-17380
CA-2018-134978;12/11/2018;15/11/2018;Second Class;10024;EB-13705
CA-2016-145352;16/03/2016;22/03/2016;Standard Class;30318;CM-12385
CA-2018-135307;26/11/2018;27/11/2018;First Class;64118;LS-17245
CA-2017-106341;20/10/2017;23/10/2017;First Class;43055;LF-17185
CA-2018-163405;21/12/2018;25/12/2018;Standard Class;90049;BN-11515
CA-2018-127432;22/01/2018;27/01/2018;Standard Class;59405;AD-10180
CA-2016-157812;22/03/2016;26/03/2016;Standard Class;77041;DB-13210
CA-2018-145142;23/01/2018;25/01/2018;First Class;48234;MC-17605
US-2017-139486;21/05/2017;23/05/2017;First Class;90032;LH-17155
CA-2016-158792;26/12/2016;02/01/2017;Standard Class;1841;BD-11605
CA-2018-113558;21/10/2018;26/10/2018;Standard Class;33801;PH-18790
US-2016-138303;03/09/2016;07/09/2016;Standard Class;19134;MG-18145
CA-2016-102848;07/11/2016;09/11/2016;Second Class;90036;KB-16240
US-2018-129441;07/09/2018;11/09/2018;Standard Class;90032;JC-15340
CA-2017-168753;29/05/2017;01/06/2017;Second Class;36116;RL-19615
CA-2017-126613;10/07/2017;16/07/2017;Standard Class;85204;AA-10375
US-2018-122637;03/09/2018;08/09/2018;Second Class;60653;EP-13915
CA-2016-147851;03/12/2016;08/12/2016;Standard Class;10009;MP-17470
CA-2016-134894;07/12/2016;11/12/2016;Standard Class;42420;DK-12985
CA-2015-140795;01/02/2015;03/02/2015;First Class;54302;BD-11500
CA-2017-136924;14/07/2017;17/07/2017;First Class;85705;ES-14080
US-2016-120161;18/12/2016;23/12/2016;Standard Class;45503;LM-17065
CA-2015-103849;11/05/2015;16/05/2015;Standard Class;76106;PG-18895
CA-2018-162929;19/11/2018;22/11/2018;First Class;10035;AS-10135
CA-2016-113173;15/11/2016;17/11/2016;Second Class;60653;DK-13225
CA-2017-136406;15/04/2017;17/04/2017;Second Class;94110;BD-11320
CA-2018-112774;11/09/2018;12/09/2018;First Class;32216;RC-19960
CA-2018-101945;24/11/2018;28/11/2018;Standard Class;77070;GT-14710
CA-2018-100650;29/06/2018;03/07/2018;Second Class;92804;DK-13225
CA-2015-155852;03/03/2015;07/03/2015;Second Class;28403;AJ-10945
CA-2017-113243;10/06/2017;15/06/2017;Standard Class;90045;OT-18730
CA-2018-118731;20/11/2018;22/11/2018;Second Class;94110;LP-17080
CA-2015-145576;14/09/2015;18/09/2015;Second Class;33614;CA-12775
CA-2016-130736;07/12/2016;09/12/2016;First Class;98105;JF-15490
CA-2018-137099;07/12/2018;10/12/2018;First Class;90008;FP-14320
CA-2018-156951;01/10/2018;08/10/2018;Standard Class;98105;EB-13840
CA-2018-164826;28/12/2018;04/01/2019;Standard Class;10024;JF-15415
CA-2017-127250;03/11/2017;07/11/2017;Standard Class;98270;SF-20200
CA-2016-149713;18/09/2016;22/09/2016;Second Class;90805;TG-21640
CA-2018-118640;20/07/2018;26/07/2018;Standard Class;60610;CS-11950
CA-2016-132906;10/09/2016;14/09/2016;Standard Class;90004;CC-12145
CA-2018-145233;01/12/2018;05/12/2018;Standard Class;80219;DV-13465
CA-2016-128139;03/07/2016;09/07/2016;Standard Class;40475;BD-11725
US-2017-156986;20/03/2017;24/03/2017;Standard Class;97301;ZC-21910
CA-2015-135405;09/01/2015;13/01/2015;Standard Class;78041;MS-17830
CA-2015-131450;08/08/2015;15/08/2015;Standard Class;92024;LR-16915
CA-2017-120180;14/07/2017;16/07/2017;First Class;19134;TP-21130
US-2017-100720;16/07/2017;21/07/2017;Standard Class;19120;CK-12205
CA-2015-149958;15/03/2015;19/03/2015;Standard Class;33614;AS-10240
US-2015-105767;23/05/2015;27/05/2015;Standard Class;19134;AR-10510
CA-2017-161816;28/04/2017;01/05/2017;First Class;75217;NB-18655
CA-2017-121223;11/09/2017;13/09/2017;Second Class;19143;GD-14590
CA-2018-138611;14/11/2018;17/11/2018;Second Class;43123;CK-12595
CA-2018-117947;18/08/2018;23/08/2018;Second Class;10011;NG-18355
US-2015-111171;26/12/2015;31/12/2015;Standard Class;60610;CA-12265
CA-2016-138009;29/11/2016;03/12/2016;Standard Class;48126;SF-20965
CA-2018-163020;15/09/2018;19/09/2018;Standard Class;10009;MO-17800
CA-2018-153787;19/05/2018;23/05/2018;Standard Class;98115;AT-10735
CA-2018-133431;17/12/2018;21/12/2018;Standard Class;94122;LC-17140
US-2017-135720;11/12/2017;13/12/2017;Second Class;80013;FM-14380
CA-2018-144694;24/09/2018;26/09/2018;Second Class;33180;BD-11605
CA-2016-168004;04/10/2016;09/10/2016;Second Class;31088;DJ-13420
US-2017-123470;15/08/2017;21/08/2017;Standard Class;80013;ME-17725
CA-2017-115917;20/05/2017;25/05/2017;Standard Class;94591;RB-19465
CA-2017-147067;18/12/2017;22/12/2017;Standard Class;55407;JD-16150
CA-2018-167913;30/07/2018;03/08/2018;Second Class;92691;JL-15835
CA-2018-106103;10/06/2018;15/06/2018;Standard Class;48307;SC-20305
US-2018-127719;21/07/2018;25/07/2018;Standard Class;7060;TW-21025
CA-2018-126221;30/12/2018;05/01/2019;Standard Class;47201;CC-12430
CA-2017-103947;01/04/2017;08/04/2017;Standard Class;85635;BB-10990
CA-2017-160745;11/12/2017;16/12/2017;Second Class;98661;AR-10825
CA-2017-132661;23/10/2017;29/10/2017;Standard Class;10024;SR-20740
CA-2018-140844;19/06/2018;23/06/2018;Standard Class;10035;AR-10405
CA-2017-137239;22/08/2017;28/08/2017;Standard Class;43229;CR-12730
US-2017-156097;19/09/2017;19/09/2017;Same Day;60505;EH-14125
CA-2016-146563;24/08/2016;28/08/2016;Standard Class;76017;CB-12025
CA-2017-123666;26/03/2017;30/03/2017;Standard Class;10011;SP-20545
CA-2017-143308;04/11/2017;04/11/2017;Same Day;40214;RC-19825
CA-2018-132682;08/06/2018;10/06/2018;Second Class;75081;TH-21235
CA-2015-156314;24/12/2015;26/12/2015;First Class;44105;RP-19390
US-2018-106663;09/06/2018;13/06/2018;Standard Class;60653;MO-17800
CA-2018-111178;15/06/2018;22/06/2018;Standard Class;62301;TD-20995
CA-2018-130351;05/12/2018;08/12/2018;First Class;47201;RB-19570
US-2018-119438;18/03/2018;23/03/2018;Standard Class;75701;CD-11980
CA-2017-164511;19/11/2017;24/11/2017;Standard Class;10024;DJ-13630
US-2018-168116;04/11/2018;04/11/2018;Same Day;27217;GT-14635
CA-2015-157784;05/07/2015;08/07/2015;First Class;39212;MC-17845
CA-2018-161480;25/12/2018;29/12/2018;Standard Class;10035;RA-19285
US-2015-117135;21/06/2015;23/06/2015;Second Class;22980;NP-18325
CA-2016-131534;28/03/2016;02/04/2016;Standard Class;90036;AB-10165
CA-2016-119291;14/05/2016;17/05/2016;First Class;19013;JO-15550
CA-2018-114552;02/09/2018;08/09/2018;Standard Class;44105;Dl-13600
CA-2017-163755;04/11/2017;08/11/2017;Second Class;98103;AS-10285
CA-2016-142027;09/04/2016;14/04/2016;Standard Class;90805;JK-15370
CA-2015-138527;12/09/2015;17/09/2015;Standard Class;27511;BN-11470
CA-2015-112158;02/12/2015;04/12/2015;First Class;10035;DP-13165
CA-2015-113887;05/04/2015;07/04/2015;First Class;10035;TH-21550
CA-2018-146136;03/09/2018;07/09/2018;Standard Class;32137;AP-10915
US-2018-100048;19/05/2018;24/05/2018;Standard Class;10550;RS-19765
CA-2015-153150;01/07/2015;06/07/2015;Second Class;98105;Dl-13600
CA-2015-130092;11/01/2015;14/01/2015;First Class;19901;SV-20365
CA-2018-108910;24/09/2018;29/09/2018;Standard Class;43055;KC-16540
CA-2015-104472;02/06/2015;07/06/2015;Standard Class;84057;CK-12325
CA-2017-112942;13/02/2017;18/02/2017;Standard Class;90045;RD-19810
CA-2017-142335;15/12/2017;19/12/2017;Standard Class;48205;MP-17965
CA-2015-117429;07/10/2015;13/10/2015;Standard Class;19140;MR-17545
CA-2017-114713;07/07/2017;12/07/2017;Standard Class;33012;SC-20695
CA-2018-144113;16/09/2018;20/09/2018;Standard Class;78745;JF-15355
US-2017-150861;03/12/2017;06/12/2017;First Class;11572;EG-13900
CA-2018-131954;21/01/2018;25/01/2018;Standard Class;98115;DS-13030
CA-2015-132500;08/09/2015;12/09/2015;Standard Class;94110;GZ-14470
CA-2015-112326;04/01/2015;08/01/2015;Standard Class;60540;PO-19195
US-2017-146710;27/08/2017;01/09/2017;Standard Class;75220;SS-20875
CA-2015-124429;27/05/2015;27/05/2015;Same Day;92105;MH-17785
CA-2017-150889;20/03/2017;22/03/2017;Second Class;60201;PB-19105
CA-2018-126074;02/10/2018;06/10/2018;Standard Class;48183;RF-19735
CA-2017-110499;07/04/2017;09/04/2017;First Class;94110;YC-21895
CA-2016-135272;07/12/2016;12/12/2016;Standard Class;90036;MS-17830
CA-2017-140928;18/09/2017;22/09/2017;Standard Class;32216;NB-18655
CA-2015-106803;29/12/2015;02/01/2016;Standard Class;55016;DC-13285
CA-2018-117240;23/07/2018;28/07/2018;Standard Class;10009;CP-12340
CA-2018-133333;18/09/2018;22/09/2018;Standard Class;54302;BF-11020
CA-2016-112319;31/08/2016;05/09/2016;Standard Class;90004;AR-10510
CA-2018-126046;03/11/2018;07/11/2018;Standard Class;30318;JC-16105
CA-2016-114923;08/02/2016;13/02/2016;Standard Class;43229;LH-17020
CA-2015-162775;13/01/2015;15/01/2015;Second Class;71111;CS-12250
CA-2015-106810;14/05/2015;20/05/2015;Standard Class;33710;AJ-10795
CA-2017-157245;19/05/2017;24/05/2017;Standard Class;22204;LE-16810
CA-2018-104220;30/01/2018;05/02/2018;Standard Class;50315;BV-11245
CA-2015-165974;29/06/2015;06/07/2015;Standard Class;45231;DL-12865
CA-2016-144267;21/08/2016;23/08/2016;First Class;94110;NZ-18565
US-2016-157014;03/10/2016;06/10/2016;Second Class;43229;BM-11785
CA-2016-154921;23/05/2016;28/05/2016;Standard Class;29203;EA-14035
CA-2018-129567;17/03/2018;21/03/2018;Second Class;93534;CL-12565
CA-2016-154620;12/12/2016;16/12/2016;Standard Class;93534;LT-17110
CA-2016-115938;26/06/2016;30/06/2016;Standard Class;23223;SA-20830
CA-2017-105256;20/05/2017;20/05/2017;Same Day;28806;JK-15730
CA-2015-156433;20/09/2015;26/09/2015;Standard Class;94110;ES-14020
CA-2018-151428;21/09/2018;26/09/2018;Standard Class;55901;RH-19495
CA-2016-124653;24/12/2016;26/12/2016;First Class;14609;DB-13120
CA-2016-101910;27/11/2016;03/12/2016;Standard Class;92530;CD-11920
