Postal Code;Country;City;State;Region
33180;United States;Miami;Florida;South
28403;United States;Wilmington;North Carolina;South
92646;United States;Huntington Beach;California;West
40475;United States;Richmond;Kentucky;South
80027;United States;Louisville;Colorado;West
1841;United States;Lawrence;Massachusetts;East
39212;United States;Jackson;Mississippi;South
48187;United States;Canton;Michigan;Central
10801;United States;New Rochelle;New York;East
28052;United States;Gastonia;North Carolina;South
32216;United States;Jacksonville;Florida;South
47201;United States;Columbus;Indiana;Central
13021;United States;Auburn;New York;East
73071;United States;Norman;Oklahoma;Central
94521;United States;Concord;California;West
60068;United States;Park Ridge;Illinois;Central
79109;United States;Amarillo;Texas;Central
11757;United States;Lindenhurst;New York;East
90008;United States;Los Angeles;California;West
92024;United States;San Diego;California;West
77340;United States;Huntsville;Texas;Central
14609;United States;Rochester;New York;East
72701;United States;Fayetteville;Arkansas;South
92627;United States;Costa Mesa;California;West
80134;United States;Parker;Colorado;West
30318;United States;Atlanta;Georgia;South
64118;United States;Gladstone;Missouri;Central
59405;United States;Great Falls;Montana;West
48234;United States;Detroit;Michigan;Central
33801;United States;Lakeland;Florida;South
36116;United States;Montgomery;Alabama;South
85204;United States;Mesa;Arizona;West
60653;United States;Chicago;Illinois;Central
54302;United States;Green Bay;Wisconsin;Central
45503;United States;Springfield;Ohio;East
92804;United States;Anaheim;California;West
98270;United States;Marysville;Washington;West
97301;United States;Salem;Oregon;West
78041;United States;Laredo;Texas;Central
75217;United States;Dallas;Texas;Central
43123;United States;Grove City;Ohio;East
10011;United States;New York City;New York;East
48126;United States;Dearborn;Michigan;Central
31088;United States;Warner Robins;Georgia;South
94591;United States;Vallejo;California;West
92691;United States;Mission Viejo;California;West
48307;United States;Rochester Hills;Michigan;Central
7060;United States;Plainfield;New Jersey;East
85635;United States;Sierra Vista;Arizona;West
98661;United States;Vancouver;Washington;West
60505;United States;Aurora;Illinois;Central
76017;United States;Arlington;Texas;Central
40214;United States;Louisville;Kentucky;South
75081;United States;Dallas;Texas;Central
44105;United States;Cleveland;Ohio;East
75701;United States;Tyler;Texas;Central
27217;United States;Burlington;North Carolina;South
22980;United States;Waynesboro;Virginia;South
19013;United States;Chester;Pennsylvania;East
27511;United States;Cary;North Carolina;South
32137;United States;Palm Coast;Florida;South
10550;United States;Mount Vernon;New York;East
48205;United States;Detroit;Michigan;Central
33012;United States;Hialeah;Florida;South
11572;United States;Oceanside;New York;East
92105;United States;San Diego;California;West
60201;United States;Evanston;Illinois;Central
48183;United States;Trenton;Michigan;Central
55016;United States;Cottage Grove;Minnesota;Central
71111;United States;Bossier City;Louisiana;South
50315;United States;Des Moines;Iowa;Central
93534;United States;Lancaster;California;West
23223;United States;Richmond;Virginia;South
28806;United States;Asheville;North Carolina;South
92530;United States;Lake Elsinore;California;West
68104;United States;Omaha;Nebraska;Central
98026;United States;Edmonds;Washington;West
92704;United States;Santa Ana;California;West
53209;United States;Milwaukee;Wisconsin;Central
41042;United States;Florence;Kentucky;South
44052;United States;Lorain;Ohio;East
7036;United States;Linden;New Jersey;East
93905;United States;Salinas;California;West
8901;United States;New Brunswick;New Jersey;East
17602;United States;Lancaster;Pennsylvania;East
3301;United States;Concord;New Hampshire;East
21044;United States;Columbia;Maryland;East
75043;United States;Garland;Texas;Central
6360;United States;Norwich;Connecticut;East
22304;United States;Alexandria;Virginia;South
43615;United States;Toledo;Ohio;East
87401;United States;Farmington;New Mexico;West
92503;United States;Riverside;California;West
90503;United States;Torrance;California;West
78664;United States;Round Rock;Texas;Central
92054;United States;Oceanside;California;West
33433;United States;Boca Raton;Florida;South
23464;United States;Virginia Beach;Virginia;South
92563;United States;Murrieta;California;West
28540;United States;Jacksonville;North Carolina;South
52601;United States;Burlington;Iowa;Central
98502;United States;Olympia;Washington;West
20016;United States;Washington;District of Columbia;East
65109;United States;Jefferson City;Missouri;Central
63376;United States;Saint Peters;Missouri;Central
61107;United States;Rockford;Illinois;Central
33142;United States;Miami;Florida;South
78521;United States;Brownsville;Texas;Central
10701;United States;Yonkers;New York;East
94601;United States;Oakland;California;West
28110;United States;Monroe;North Carolina;South
20735;United States;Clinton;Maryland;East
30076;United States;Roswell;Georgia;South
72401;United States;Jonesboro;Arkansas;South
47374;United States;Richmond;Indiana;Central
94509;United States;Antioch;California;West
33030;United States;Homestead;Florida;South
46350;United States;La Porte;Indiana;Central
48911;United States;Lansing;Michigan;Central
44221;United States;Cuyahoga Falls;Ohio;East
89502;United States;Reno;Nevada;West
22801;United States;Harrisonburg;Virginia;South
92025;United States;Escondido;California;West
48073;United States;Royal Oak;Michigan;Central
20852;United States;Rockville;Maryland;East
33065;United States;Coral Springs;Florida;South
14215;United States;Buffalo;New York;East
33437;United States;Boynton Beach;Florida;South
39503;United States;Gulfport;Mississippi;South
93727;United States;Fresno;California;West
27834;United States;Greenville;North Carolina;South
11561;United States;Long Beach;New York;East
35630;United States;Florence;Alabama;South
31204;United States;Macon;Georgia;South
52402;United States;Cedar Rapids;Iowa;Central
2908;United States;Providence;Rhode Island;East
81001;United States;Pueblo;Colorado;West
94533;United States;Fairfield;California;West
32725;United States;Deltona;Florida;South
42071;United States;Murray;Kentucky;South
6457;United States;Middletown;Connecticut;East
11520;United States;Freeport;New York;East
90660;United States;Pico Rivera;California;West
84604;United States;Provo;Utah;West
84062;United States;Pleasant Grove;Utah;West
30080;United States;Smyrna;Georgia;South
24153;United States;Salem;Virginia;South
44134;United States;Parma;Ohio;East
36608;United States;Mobile;Alabama;South
2740;United States;New Bedford;Massachusetts;East
75061;United States;Irving;Texas;Central
8360;United States;Vineland;New Jersey;East
85301;United States;Glendale;Arizona;West
14304;United States;Niagara Falls;New York;East
27360;United States;Thomasville;North Carolina;South
92683;United States;Westminster;California;West
38301;United States;Jackson;Tennessee;South
75019;United States;Coppell;Texas;Central
91767;United States;Pomona;California;West
89031;United States;North Las Vegas;Nevada;West
18103;United States;Allentown;Pennsylvania;East
19711;United States;Newark;Delaware;East
85281;United States;Tempe;Arizona;West
92677;United States;Laguna Niguel;California;West
8302;United States;Bridgeton;New Jersey;East
2149;United States;Everett;Massachusetts;East
13601;United States;Watertown;New York;East
54915;United States;Appleton;Wisconsin;Central
98006;United States;Bellevue;Washington;West
75002;United States;Allen;Texas;Central
79907;United States;El Paso;Texas;Central
76051;United States;Grapevine;Texas;Central
75007;United States;Carrollton;Texas;Central
37167;United States;Smyrna;Tennessee;South
98031;United States;Kent;Washington;West
70506;United States;Lafayette;Louisiana;South
97224;United States;Tigard;Oregon;West
60076;United States;Skokie;Illinois;Central
75023;United States;Plano;Texas;Central
23434;United States;Suffolk;Virginia;South
46203;United States;Indianapolis;Indiana;Central
7002;United States;Bayonne;New Jersey;East
28314;United States;Fayetteville;North Carolina;South
27405;United States;Greensboro;North Carolina;South
21215;United States;Baltimore;Maryland;East
53142;United States;Kenosha;Wisconsin;Central
66062;United States;Olathe;Kansas;Central
98002;United States;Auburn;Washington;West
74133;United States;Tulsa;Oklahoma;Central
97756;United States;Redmond;Oregon;West
27604;United States;Raleigh;North Carolina;South
74403;United States;Muskogee;Oklahoma;Central
6450;United States;Meriden;Connecticut;East
42104;United States;Bowling Green;Kentucky;South
46614;United States;South Bend;Indiana;Central
6010;United States;Bristol;Connecticut;East
89015;United States;Henderson;Nevada;West
99207;United States;Spokane;Washington;West
76248;United States;Keller;Texas;Central
45014;United States;Fairfield;Ohio;East
32127;United States;Port Orange;Florida;South
97504;United States;Medford;Oregon;West
22901;United States;Charlottesville;Virginia;South
59801;United States;Missoula;Montana;West
33178;United States;Miami;Florida;South
29501;United States;Florence;South Carolina;South
97477;United States;Springfield;Oregon;West
32712;United States;Apopka;Florida;South
19601;United States;Reading;Pennsylvania;East
80020;United States;Broomfield;Colorado;West
65807;United States;Springfield;Missouri;Central
7501;United States;Paterson;New Jersey;East
73120;United States;Oklahoma City;Oklahoma;Central
23320;United States;Chesapeake;Virginia;South
79424;United States;Lubbock;Texas;Central
65203;United States;Columbia;Missouri;Central
37604;United States;Johnson City;Tennessee;South
36830;United States;Auburn;Alabama;South
92404;United States;San Bernardino;California;West
1453;United States;Leominster;Massachusetts;East
59715;United States;Bozeman;Montana;West
85345;United States;Peoria;Arizona;West
44107;United States;Lakewood;Ohio;East
8861;United States;Perth Amboy;New Jersey;East
91761;United States;Ontario;California;West
91730;United States;Rancho Cucamonga;California;West
56560;United States;Moorhead;Minnesota;Central
75150;United States;Mesquite;Texas;Central
95207;United States;Stockton;California;West
32174;United States;Ormond Beach;Florida;South
94086;United States;Sunnyvale;California;West
3820;United States;Dover;New Hampshire;East
17403;United States;York;Pennsylvania;East
77840;United States;College Station;Texas;Central
63116;United States;Saint Louis;Missouri;Central
2169;United States;Quincy;Massachusetts;East
95336;United States;Manteca;California;West
44240;United States;Kent;Ohio;East
76903;United States;San Angelo;Texas;Central
84106;United States;Salt Lake City;Utah;West
35810;United States;Huntsville;Alabama;South
37918;United States;Knoxville;Tennessee;South
72209;United States;Little Rock;Arkansas;South
48146;United States;Lincoln Park;Michigan;Central
43302;United States;Marion;Ohio;East
80122;United States;Littleton;Colorado;West
4401;United States;Bangor;Maine;East
38671;United States;Southaven;Mississippi;South
47362;United States;New Castle;Indiana;Central
48640;United States;Midland;Michigan;Central
57103;United States;Sioux Falls;South Dakota;Central
80525;United States;Fort Collins;Colorado;West
47905;United States;Lafayette;Indiana;Central
37042;United States;Clarksville;Tennessee;South
95823;United States;Sacramento;California;West
91360;United States;Thousand Oaks;California;West
2148;United States;Malden;Massachusetts;East
1040;United States;Holyoke;Massachusetts;East
87105;United States;Albuquerque;New Mexico;West
89431;United States;Sparks;Nevada;West
92236;United States;Coachella;California;West
60126;United States;Elmhurst;Illinois;Central
7055;United States;Passaic;New Jersey;East
29406;United States;North Charleston;South Carolina;South
23602;United States;Newport News;Virginia;South
14701;United States;Jamestown;New York;East
46544;United States;Mishawaka;Indiana;Central
43402;United States;Bowling Green;Ohio;East
92253;United States;La Quinta;California;West
32303;United States;Tallahassee;Florida;South
37211;United States;Nashville;Tennessee;South
98226;United States;Bellingham;Washington;West
60098;United States;Woodstock;Illinois;Central
76117;United States;Haltom City;Texas;Central
60090;United States;Wheeling;Illinois;Central
29483;United States;Summerville;South Carolina;South
71901;United States;Hot Springs;Arkansas;South
80112;United States;Englewood;Colorado;West
43130;United States;Lancaster;Ohio;East
88001;United States;Las Cruces;New Mexico;West
35244;United States;Hoover;Alabama;South
75034;United States;Frisco;Texas;Central
95687;United States;Vacaville;California;West
84107;United States;Murray;Utah;West
53186;United States;Waukesha;Wisconsin;Central
93309;United States;Bakersfield;California;West
33068;United States;Pompano Beach;Florida;South
45373;United States;Troy;Ohio;East
78415;United States;Corpus Christi;Texas;Central
90278;United States;Redondo Beach;California;West
32839;United States;Orlando;Florida;South
7050;United States;Orange;New Jersey;East
70601;United States;Lake Charles;Louisiana;South
60035;United States;Highland Park;Illinois;Central
11550;United States;Hempstead;New York;East
46060;United States;Noblesville;Indiana;Central
55124;United States;Apple Valley;Minnesota;Central
29464;United States;Mount Pleasant;South Carolina;South
48310;United States;Sterling Heights;Michigan;Central
54703;United States;Eau Claire;Wisconsin;Central
78577;United States;Pharr;Texas;Central
59102;United States;Billings;Montana;West
97030;United States;Gresham;Oregon;West
37421;United States;Chattanooga;Tennessee;South
83642;United States;Meridian;Idaho;West
92307;United States;Apple Valley;California;West
60440;United States;Bolingbrook;Illinois;Central
55369;United States;Maple Grove;Minnesota;Central
95695;United States;Woodland;California;West
77489;United States;Missouri City;Texas;Central
77581;United States;Pearland;Texas;Central
94403;United States;San Mateo;California;West
49505;United States;Grand Rapids;Michigan;Central
93277;United States;Visalia;California;West
66212;United States;Overland Park;Kansas;Central
92592;United States;Temecula;California;West
92399;United States;Yucaipa;California;West
2151;United States;Revere;Massachusetts;East
77301;United States;Conroe;Texas;Central
60477;United States;Tinley Park;Illinois;Central
52001;United States;Dubuque;Iowa;Central
48127;United States;Dearborn Heights;Michigan;Central
87505;United States;Santa Fe;New Mexico;West
28601;United States;Hickory;North Carolina;South
60188;United States;Carol Stream;Illinois;Central
56301;United States;Saint Cloud;Minnesota;Central
33161;United States;North Miami;Florida;South
46226;United States;Lawrence;Indiana;Central
33317;United States;Plantation;Florida;South
34952;United States;Port Saint Lucie;Florida;South
29730;United States;Rock Hill;South Carolina;South
79762;United States;Odessa;Texas;Central
53214;United States;West Allis;Wisconsin;Central
91911;United States;Chula Vista;California;West
66502;United States;Manhattan;Kansas;Central
16602;United States;Altoona;Pennsylvania;East
80229;United States;Thornton;Colorado;West
61821;United States;Champaign;Illinois;Central
47401;United States;Bloomington;Indiana;Central
71854;United States;Texarkana;Arkansas;South
78539;United States;Edinburg;Texas;Central
77520;United States;Baytown;Texas;Central
46142;United States;Greenwood;Indiana;Central
90712;United States;Lakewood;California;West
2895;United States;Woonsocket;Rhode Island;East
54880;United States;Superior;Wisconsin;Central
76021;United States;Bedford;Texas;Central
98042;United States;Covington;Washington;West
74012;United States;Broken Arrow;Oklahoma;Central
33023;United States;Miramar;Florida;South
33021;United States;Hollywood;Florida;South
77536;United States;Deer Park;Texas;Central
67212;United States;Wichita;Kansas;Central
78501;United States;Mcallen;Texas;Central
52240;United States;Iowa City;Iowa;Central
83704;United States;Boise;Idaho;West
2920;United States;Cranston;Rhode Island;East
61032;United States;Freeport;Illinois;Central
77642;United States;Port Arthur;Texas;Central
95610;United States;Citrus Heights;California;West
75056;United States;The Colony;Texas;Central
98052;United States;Redmond;Washington;West
32114;United States;Daytona Beach;Florida;South
86442;United States;Bullhead City;Arizona;West
46368;United States;Portage;Indiana;Central
58103;United States;Fargo;North Dakota;Central
46514;United States;Elkhart;Indiana;Central
91776;United States;San Gabriel;California;West
33063;United States;Margate;Florida;South
30328;United States;Sandy Springs;Georgia;South
44060;United States;Mentor;Ohio;East
73505;United States;Lawton;Oklahoma;Central
23666;United States;Hampton;Virginia;South
13440;United States;Rome;New York;East
54601;United States;La Crosse;Wisconsin;Central
83501;United States;Lewiston;Idaho;West
39401;United States;Hattiesburg;Mississippi;South
94526;United States;Danville;California;West
48858;United States;Mount Pleasant;Michigan;Central
84321;United States;Logan;Utah;West
6708;United States;Waterbury;Connecticut;East
30605;United States;Athens;Georgia;South
4240;United States;Lewiston;Maine;East
61832;United States;Danville;Illinois;Central
85323;United States;Avondale;Arizona;West
30062;United States;Marietta;Georgia;South
85364;United States;Yuma;Arizona;West
54401;United States;Wausau;Wisconsin;Central
99301;United States;Pasco;Washington;West
60302;United States;Oak Park;Illinois;Central
32503;United States;Pensacola;Florida;South
77573;United States;League City;Texas;Central
20877;United States;Gaithersburg;Maryland;East
84043;United States;Lehi;Utah;West
35401;United States;Tuscaloosa;Alabama;South
92553;United States;Moreno Valley;California;West
40324;United States;Georgetown;Kentucky;South
80538;United States;Loveland;Colorado;West
85224;United States;Chandler;Arizona;West
59601;United States;Helena;Montana;West
63122;United States;Kirkwood;Missouri;Central
76706;United States;Waco;Texas;Central
48066;United States;Roseville;Michigan;Central
60423;United States;Frankfort;Illinois;Central
18018;United States;Bethlehem;Pennsylvania;East
55113;United States;Roseville;Minnesota;Central
68801;United States;Grand Island;Nebraska;Central
55125;United States;Woodbury;Minnesota;Central
48237;United States;Oak Park;Michigan;Central
72756;United States;Rogers;Arkansas;South
88101;United States;Clovis;New Mexico;West
33458;United States;Jupiter;Florida;South
93101;United States;Santa Barbara;California;West
75104;United States;Cedar Hill;Texas;Central
68701;United States;Norfolk;Nebraska;Central
84020;United States;Draper;Utah;West
48104;United States;Ann Arbor;Michigan;Central
91941;United States;La Mesa;California;West
83201;United States;Pocatello;Idaho;West
49423;United States;Holland;Michigan;Central
6460;United States;Milford;Connecticut;East
60089;United States;Buffalo Grove;Illinois;Central
92630;United States;Lake Forest;California;West
96003;United States;Redding;California;West
95928;United States;Chico;California;West
13501;United States;Utica;New York;East
72032;United States;Conway;Arkansas;South
82001;United States;Cheyenne;Wyoming;West
42301;United States;Owensboro;Kentucky;South
83605;United States;Caldwell;Idaho;West
70065;United States;Kenner;Louisiana;South
3060;United States;Nashua;New Hampshire;East
38134;United States;Bartlett;Tennessee;South
94061;United States;Redwood City;California;West
37087;United States;Lebanon;Tennessee;South
93454;United States;Santa Maria;California;West
60016;United States;Des Plaines;Illinois;Central
98632;United States;Longview;Washington;West
37075;United States;Hendersonville;Tennessee;South
50701;United States;Waterloo;Iowa;Central
2138;United States;Cambridge;Massachusetts;East
60067;United States;Palatine;Illinois;Central
1915;United States;Beverly;Massachusetts;East
97405;United States;Eugene;Oregon;West
93030;United States;Oxnard;California;West
98059;United States;Renton;Washington;West
60025;United States;Glenview;Illinois;Central
33445;United States;Delray Beach;Florida;South
80022;United States;Commerce City;Colorado;West
77590;United States;Texas City;Texas;Central
27893;United States;Wilson;North Carolina;South
87124;United States;Rio Rancho;New Mexico;West
27534;United States;Goldsboro;North Carolina;South
98208;United States;Everett;Washington;West
90640;United States;Montebello;California;West
92020;United States;El Cajon;California;West
77705;United States;Beaumont;Texas;Central
33407;United States;West Palm Beach;Florida;South
79605;United States;Abilene;Texas;Central
61761;United States;Normal;Illinois;Central
63301;United States;Saint Charles;Missouri;Central
60174;United States;Saint Charles;Illinois;Central
93010;United States;Camarillo;California;West
97123;United States;Hillsboro;Oregon;West
91505;United States;Burbank;California;West
95351;United States;Modesto;California;West
67846;United States;Garden City;Kansas;Central
8401;United States;Atlantic City;New Jersey;East
80501;United States;Longmont;Colorado;West
95616;United States;Davis;California;West
26003;United States;Wheeling;West Virginia;East
95037;United States;Morgan Hill;California;West
7011;United States;Clifton;New Jersey;East
53081;United States;Sheboygan;Wisconsin;Central
30344;United States;East Point;Georgia;South
57701;United States;Rapid City;South Dakota;Central
1810;United States;Andover;Massachusetts;East
34741;United States;Kissimmee;Florida;South
6484;United States;Shelton;Connecticut;East
6810;United States;Danbury;Connecticut;East
52302;United States;Marion;Iowa;Central
32771;United States;Sanford;Florida;South
78666;United States;San Marcos;Texas;Central
80634;United States;Greeley;Colorado;West
76063;United States;Mansfield;Texas;Central
44035;United States;Elyria;Ohio;East
83301;United States;Twin Falls;Idaho;West
33134;United States;Coral Gables;Florida;South
60441;United States;Romeoville;Illinois;Central
1752;United States;Marlborough;Massachusetts;East
20707;United States;Laurel;Maryland;East
77803;United States;Bryan;Texas;Central
71603;United States;Pine Bluff;Arkansas;South
57401;United States;Aberdeen;South Dakota;Central
21740;United States;Hagerstown;Maryland;East
7017;United States;East Orange;New Jersey;East
60004;United States;Arlington Heights;Illinois;Central
60543;United States;Oswego;Illinois;Central
55433;United States;Coon Rapids;Minnesota;Central
92672;United States;San Clemente;California;West
94568;United States;Dublin;California;West
93405;United States;San Luis Obispo;California;West
72762;United States;Springdale;Arkansas;South
